ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075849136::Parent Attribute  [read only],1075849137::Parent Relationship  [read only],1075849148::Comments,1075849176::Physical Name
"1075838981::145","employee first name",Column,"Employee’s name","employee first name","","","Employee’s name","EMP_first_name"
"1075838981::147","employee phone",Column,"Employee’s home phone number","employee phone","","","Employee’s home phone number","EMP_phone"
"1075838981::150","store phone",Column,"The store’s phone number","store phone","","","The store’s phone number","store_phone"
"1075838981::156","movie title",Column,"","movie title","","","","movie_title"
"1075838981::157","movie director",Column,"Last name of the movie’s director","movie director","","","Last name of the movie’s director","movie_director"
"1075838981::162","rental date",Column,"The date on which the movie was rented","rental date","","","The date on which the movie was rented","rental_date"
"1075838981::163","due date",Column,"The date on which the  movie is due back to the store","due date","","","The date on which the  movie is due back to the store","due_date"
"1075838981::164","rental status",Column,"Rental status of the movie copy","rental status","","","Rental status of the movie copy","rental_status"
"1075838981::166","rental rate",Column,"Amount charged for the rental of a movie","rental rate","","","Amount charged for the rental of a movie","rental_rate"
"1075838981::167","rental record date",Column,"The date on which the rental transaction  is recorded","rental record date","","","The date on which the rental transaction  is recorded","movieRentId"
"1075838981::169","general condition",Column,"code identifying the general condition of the copy of the movie","general condition","","","code identifying the general condition of the copy of the movie","generalCondition"
"1075838981::170","movie format",Column,"Defines the format of the movie copy (i.e VHS\, DVD)","movie format","","","Defines the format of the movie copy (i.e VHS\, DVD)","movieFormat"
"1075838981::171","movie copy number",Column,"A unique number  identifying the movie copy","movie copy number","","","A unique number  identifying the movie copy","movieCopyId"
"1075838981::173","soc sec number",Column,"Social Security Number","soc sec number","","","Social Security Number","soc_sec_number"
"1075838981::174","hire date",Column,"Employee’s date of hire at the video store","hire date","","","Employee’s date of hire at the video store","hire_date"
"1075838981::175","salary",Column,"Annual salary paid to the employee","salary","","","Annual salary paid to the employee","salary"
"1075838981::176","email",Column,"email","email","","","email","email"
"1075838981::177","employee number",Column,"A unique number that identifies the store in which the employee works","employee number","","","A unique number that identifies the store in which the employee works","EMP_number"
"1075838981::179","description",Column,"A brief description of the movie’s plot or story line","description","","","A brief description of the movie’s plot or story line","description"
"1075838981::180","star 1 name",Column,"Last name of the leading star of the movie","star 1 name","","","Last name of the leading star of the movie","star_1_name"
"1075838981::181","rating",Column,"Rating associated with the movie","rating","","","Rating associated with the movie","rating"
"1075838981::182","star 2 name",Column,"Last name of the second leading star of the movie","star 2 name","","","Last name of the second leading star of the movie","star_2_name"
"1075838981::183","movie number",Column,"A unique number that identifies a movie","movie number","","","A unique number that identifies a movie","movie_number"
"1075838981::185","genre",Column,"The genre associated with the movie","genre","","","The genre associated with the movie","genre"
"1075838981::186","rental rate",Column,"Amount charged for the rental of a movie","rental rate","","","Amount charged for the rental of a movie","rental_rate"
"1075838981::187","movie url",Column,"The location on the internet where the movie clip is stored","movie url","","","The location on the internet where the movie clip is stored","movie_url"
"1075838981::188","movie clip",Column,"Stored Movie clip","movie clip","","","Stored Movie clip","movie_clip"
"1075838981::189","store number",Column,"A unique identifier of the video store","store number","","","A unique identifier of the video store","store_number"
"1075838981::215","movie number",Column,"A unique number that identifies a movie","movie number","movie_number","Movie is rented as MovieCopy","A unique number that identifies a movie","movie_number"
"1075838981::227","supervisor",Column,"A unique number that identifies the employee","supervisor","EMP_number","Employee reports to Employee","A unique number that identifies the employee","supervisor"
"1075838981::244","customer number",Column,"A unique number associated with Customer","customer number","","","A unique number associated with Customer","CUST_number"
"1075838981::248","customer first name",Column,"First name of a Customer","customer first name","","","First name of a Customer","CUST_first_name"
"1075838981::249","customer last name",Column,"Last name of a Customer","customer last name","","","Last name of a Customer","CUST_last_name"
"1075838981::252","email",Column,"The email address associated with a customer","email","","","The email address associated with a customer","email"
"1075838981::340","payment transaction number",Column,"A unique number associated with the payment","payment transaction number","","","A unique number associated with the payment","paymentId"
"1075838981::343","payment amount",Column,"The amount paid to rent the movie","payment amount","","","The amount paid to rent the movie","payment_amount"
"1075838981::344","payment date",Column,"The date on which the movie was rented","payment date","","","The date on which the movie was rented","payment_date"
"1075838981::345","payment status",Column,"The status of the payment","payment status","","","The status of the payment","payment_status"
"1075838981::355","employee number",Column,"A unique number that identifies the employee","employee number","EMP_number","Employee receives Payment","A unique number that identifies the employee","EMP_number"
"1075838981::367","payment transaction number",Column,"A unique number associated with the payment","payment transaction number","paymentId","Payment is made on MovieRent","A unique number associated with the payment","paymentId"
"1075838981::747","AddressId",Column,"","AddressId","","","","AddressId"
"1075838981::749","addressOne",Column,"","addressOne","","","","addressOne"
"1075838981::750","addressTwo",Column,"","addressTwo","","","","addressTwo"
"1075838981::754","stateId",Column,"","stateId","","","","stateId"
"1075838981::756","stateName",Column,"","stateName","","","","stateName"
"1075838981::760","cityId",Column,"","cityId","","","","cityId"
"1075838981::762","cityName",Column,"","cityName","","","","cityName"
"1075838981::764","zipCode",Column,"","zipCode","","","","zipCode"
"1075838981::798","stateId",Column,"","stateId","stateId","FK_State_City (State to City)","","stateId"
"1075838981::802","cityId",Column,"","cityId","cityId","FK_City_Address (City to Address)","","cityId"
"1075838981::808","AddressId",Column,"","AddressId","AddressId","FK_Address_Customer (Address to Customer)","","AddressId"
"1075838981::815","paymentMethodId",Column,"","paymentMethodId","","","","paymentMethodId"
"1075838981::817","type",Column,"","type","","","","type"
"1075838981::820","customer number",Column,"A unique number associated with Customer","customer number","CUST_number","FK_Customer_PaymentMethod (Customer to PaymentMethod)","A unique number associated with Customer","CUST_number"
"1075838981::834","paymentMethodId",Column,"","paymentMethodId","paymentMethodId","R_29 (PaymentMethod to CreditCard)","","paymentMethodId"
"1075838981::840","paymentMethodId",Column,"","paymentMethodId","paymentMethodId","R_30 (PaymentMethod to Check)","","paymentMethodId"
"1075838981::846","paymentMethodId",Column,"","paymentMethodId","paymentMethodId","R_31 (PaymentMethod to Epay)","","paymentMethodId"
"1075838981::850","creditCardNumber",Column,"","creditCardNumber","","","","creditCardNumber"
"1075838981::851","expirationDate",Column,"","expirationDate","","","","expirationDate"
"1075838981::852","creditCardType",Column,"","creditCardType","","","","creditCardType"
"1075838981::853","accountNumer",Column,"","accountNumer","","","","accountNumer"
"1075838981::854","routingNumber",Column,"","routingNumber","","","","routingNumber"
"1075838981::855","vendorNumber",Column,"","vendorNumber","","","","vendorNumber"
"1075838981::856","accountNumber",Column,"","accountNumber","","","","accountNumber"
"1075838981::875","paymentMethodId",Column,"","paymentMethodId","paymentMethodId","R_33 (PaymentMethod to Payment)","","paymentMethodId"
"1075838981::884","directorId",Column,"","directorId","","","","directorId"
"1075838981::886","firstname",Column,"","firstname","","","","firstname"
"1075838981::887","lastname",Column,"","lastname","","","","lastname"
"1075838981::888","actorId",Column,"","actorId","","","","actorId"
"1075838981::890","firstname",Column,"","firstname","","","","firstname"
"1075838981::891","lastname",Column,"","lastname","","","","lastname"
"1075838981::897","movie number",Column,"A unique number that identifies a movie","movie number","movie_number","R_35 (Movie to Cast)","A unique number that identifies a movie","movie_number"
"1075838981::902","actorId",Column,"","actorId","actorId","R_36 (Actor to Cast)","","actorId"
"1075838981::920","directorId",Column,"","directorId","directorId","R_37 (Director to Movie)","","directorId"
"1075838981::925","store number",Column,"A unique identifier of the video store","store number","store_number","R_38 (Store to MovieCopy)","A unique identifier of the video store","store_number"
"1075838981::955","movie copy number",Column,"A unique number  identifying the movie copy","movie copy number","movieCopyId","R_41 (MovieCopy to MovieRent)","A unique number  identifying the movie copy","movieCopyId"
"1075838981::967","AddressId",Column,"","AddressId","AddressId","R_43 (Address to Store)","","AddressId"
"1075838981::972","employee number",Column,"A unique number that identifies the store in which the employee works","employee number","EMP_number","R_44 (Employee to Store)","A unique number that identifies the store in which the employee works","storeManager"
"1075838981::980","AddressId",Column,"","AddressId","AddressId","R_45 (Address to Employee)","","AddressId"
