ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075849148::Comments,1075849176::Physical Name,1075849763::Parent Entity  [read only],1075849764::Child Entity  [read only],1075850516::User Formatted Name  [read only]
"1075839016::213","Movie is rented as MovieCopy",Relationship,"","R/11","","FK_MovieCopy_MOVIE","Movie","MovieCopy","Movie is rented as MovieCopy"
"1075839016::225","Employee reports to Employee",Relationship,"","R/14","","FK_Emp_EMP","Employee","Employee","Employee reports to Employee"
"1075839016::282","FK_Customer_Invoice_CUST (Customer to CUSTOMER_INVOICE)",Relationship,"","FK_Customer_Invoice_CUST","","FK_Customer_Invoice_CUST","Customer","CUSTOMER_INVOICE","FK_Customer_Invoice_CUST (Customer to CUSTOMER_INVOICE)"
"1075839016::291","FK_Customer_Invoice_MO RENT REC (MovieRent to CUSTOMER_INVOICE)",Relationship,"","FK_Customer_Invoice_MO RENT REC","","FK_Customer_Invoice_MO_RENT_REC","MovieRent","CUSTOMER_INVOICE","FK_Customer_Invoice_MO RENT REC (MovieRent to CUSTOMER_INVOICE)"
"1075839016::300","FK_Customer_Invoice_MOVIE (Movie to CUSTOMER_INVOICE)",Relationship,"","FK_Customer_Invoice_MOVIE","","FK_Customer_Invoice_MOVIE","Movie","CUSTOMER_INVOICE","FK_Customer_Invoice_MOVIE (Movie to CUSTOMER_INVOICE)"
"1075839016::307","FK_Overdue_Notice_CUST (Customer to OVERDUE_NOTICE)",Relationship,"","FK_Overdue_Notice_CUST","","FK_Overdue_Notice_CUST","Customer","OVERDUE_NOTICE","FK_Overdue_Notice_CUST (Customer to OVERDUE_NOTICE)"
"1075839016::316","FK_Overdue_Notice_MO RENT REC (MovieRent to OVERDUE_NOTICE)",Relationship,"","FK_Overdue_Notice_MO RENT REC","","FK_Overdue_Notice_MO_RENT_REC","MovieRent","OVERDUE_NOTICE","FK_Overdue_Notice_MO RENT REC (MovieRent to OVERDUE_NOTICE)"
"1075839016::353","Employee receives Payment",Relationship,"","R/8","","FK_Payment_EMP","Employee","Payment","Employee receives Payment"
"1075839016::365","Payment is made on MovieRent",Relationship,"","R/6","","FK_MoRentRec_PAYMENT","Payment","MovieRent","Payment is made on MovieRent"
"1075839016::796","R/25 (State to City)",Relationship,"","R/25","","FK_State_City","State","City","R/25 (State to City)"
"1075839016::800","R/26 (City to Address)",Relationship,"","R/26","","FK_City_Address","City","Address","R/26 (City to Address)"
"1075839016::806","R/27 (Address to Customer)",Relationship,"","R/27","","FK_Address_Customer","Address","Customer","R/27 (Address to Customer)"
"1075839016::818","R/28 (Customer to PaymentMethod)",Relationship,"","R/28","","FK_Customer_PaymentMethod","Customer","PaymentMethod","R/28 (Customer to PaymentMethod)"
"1075839016::832","R/29 (PaymentMethod to CreditCard)",Relationship,"","R/29","","R_29","PaymentMethod","CreditCard","R/29 (PaymentMethod to CreditCard)"
"1075839016::838","R/30 (PaymentMethod to Check)",Relationship,"","R/30","","R_30","PaymentMethod","Check","R/30 (PaymentMethod to Check)"
"1075839016::844","R/31 (PaymentMethod to Epay)",Relationship,"","R/31","","R_31","PaymentMethod","Epay","R/31 (PaymentMethod to Epay)"
"1075839016::873","R/33 (PaymentMethod to Payment)",Relationship,"","R/33","","R_33","PaymentMethod","Payment","R/33 (PaymentMethod to Payment)"
"1075839016::892","R/34 (Movie to Actor)",Relationship,"","R/34","","R_34","Movie","Actor","R/34 (Movie to Actor)"
"1075839016::895","R/35 (Movie to Cast)",Relationship,"","R/35","","R_35","Movie","Cast","R/35 (Movie to Cast)"
"1075839016::900","R/36 (Actor to Cast)",Relationship,"","R/36","","R_36","Actor","Cast","R/36 (Actor to Cast)"
"1075839016::918","R/37 (Director to Movie)",Relationship,"","R/37","","R_37","Director","Movie","R/37 (Director to Movie)"
"1075839016::923","R/38 (Store to MovieCopy)",Relationship,"","R/38","","R_38","Store","MovieCopy","R/38 (Store to MovieCopy)"
"1075839016::953","R/41 (MovieCopy to MovieRent)",Relationship,"","R/41","","R_41","MovieCopy","MovieRent","R/41 (MovieCopy to MovieRent)"
"1075839016::965","R/43 (Address to Store)",Relationship,"","R/43","","R_43","Address","Store","R/43 (Address to Store)"
"1075839016::970","R/44 (Employee to Store)",Relationship,"","R/44","","R_44","Employee","Store","R/44 (Employee to Store)"
"1075839016::978","R/45 (Address to Employee)",Relationship,"","R/45","","R_45","Address","Employee","R/45 (Address to Employee)"
