ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075849148::Comments,1075849176::Physical Name
"1075838979::139","EMPLOYEE",Table,"EMPLOYEE is a person that works for the VIDEO STORE","EMPLOYEE","EMPLOYEE is a person that works for the VIDEO STORE","Employee"
"1075838979::141","MOVIE",Table,"A MOVIE is any video that can be rented” for the entity “MOVIE","MOVIE","A MOVIE is any video that can be rented” for the entity “MOVIE","Movie"
"1075838979::143","STORE",Table,"A STORE is one of the MOVIE STORES where a customer can rent a movie","STORE","A STORE is one of the MOVIE STORES where a customer can rent a movie","Store"
"1075838979::158","MOVIE RENT",Table,"A MOVIE RENTAL RECORD is a record that  is kept on every MOVIE in the STORE  on who and when a MOVIE is rented","MOVIE RENT","A MovieRent is a record that  is kept on every MOVIE in the STORE  on who and when a MOVIE is rented","MovieRent"
"1075838979::160","MOVIE COPY",Table,"A MOVIE COPY is a single copy of a MOVIE","MOVIE COPY","A MovieCopy is a single copy of a MOVIE","MovieCopy"
"1075838979::242","CUSTOMER",Table,"A CUSTOMER is a person or organization who has rented a movie within the past year.","CUSTOMER","A CUSTOMER is a person or organization who has rented a movie within the past year.","Customer"
"1075838979::338","PAYMENT",Table,"A PAYMENT is received when a customer rents a movie","PAYMENT","A PAYMENT is received when a customer rents a movie","Payment"
"1075838979::744","Address",Table,"","Address","","Address"
"1075838979::751","State",Table,"","State","","State"
"1075838979::757","City",Table,"","City","","City"
"1075838979::812","PaymentMethod",Table,"","PaymentMethod","","PaymentMethod"
"1075838979::823","CreditCard",Table,"","CreditCard","","CreditCard"
"1075838979::826","Check",Table,"","Check","","Check"
"1075838979::829","Epay",Table,"","Epay","","Epay"
"1075838979::878","Director",Table,"","Director","","Director"
"1075838979::881","Actor",Table,"","Actor","","Actor"
"1075838979::893","MOVIE Actor",Table,"","MOVIE Actor","","Cast"
